name,abbr,capital,area,population
Arusha,ARU,Arusha,37576,1694310
Dar es Salaam,DAR,Dar es Salaam,1393,4364541
Dodoma,DOD,Dodoma,41311,2083588
Geita,GEI,Geita,20054,1739530
Iringa,IRI,Iringa,35503,941238
Kagera [West Lake],KAG,Bukoba,25265,2458023
Katavi,KAT,Mpanda,45843,564604
Kigoma,KIG,Kigoma,37040,2127930
Kilimanjaro,KIL,Moshi,13250,1640087
Lindi,LIN,Lindi,66040,864652
Manyara,MAY,Babati,44522,1425131
Mara,MAR,Musoma,21760,1743830
Mbeya,MBE,Mbeya,60350,2707410
Morogoro,MOR,Morogoro,70624,2218492
Mtwara,MTW,Mtwara,16710,1270854
Mwanza,MWA,Mwanza,9467,2772509
Njombe,NJO,Njombe,21347,702097
Pwani [Coast],PWA,Dar es Salaam,32547,1098668
Rukwa,RUK,Sumbawanga,22792,1004539
Ruvuma,RUV,Songea,63669,1376891
Shinyanga,SHI,Shinyanga,18901,1534808
Simiyu,SIM,Bariadi,25212,1584157
Singida,SIN,Singida,49340,1370637
Tabora,TAB,Tabora,76150,2291623
Tanga,TAN,Tanga,26677,2045205
Zanzibar,ZAN,Zanzibar,2460,1303569
Tanzania,TZA,Dodoma,885803,44928923
